time,knee_angle_r,Torque,path_actuator,,Moment arm,,,,Moment arm
0.67312865,-8.69089729,5.672749088,-87.91158017,,-0.13875707,,1.60405,-0.13875707,-0.064527894
0.6741802,-8.9243446,6.329126831,-98.04525541,,-0.13582699,,1.6167,-0.13582699,-0.064553117
0.675,-9.10561161,6.841197977,-105.9455369,,-0.13225117,,1.62935,-0.13225117,-0.064572781
0.67501551,-9.1090333,6.848592149,-106.059435,,-0.12790544,,1.642,-0.12790544,-0.064573153
0.67503101,-9.11245473,6.85598638,-106.173333,,-0.12271301,,1.65465,-0.12271301,-0.064573525
0.67510854,-9.12955807,6.892958885,-106.7428233,,-0.11662467,,1.6673,-0.11662467,-0.064575385
0.67549616,-9.2149788,7.077853102,-109.5902747,,-0.10965229,,1.67995,-0.10965229,-0.064584683
0.67650703,-9.43698248,7.560278855,-117.0160046,,-0.10198278,,1.6926,-0.10198278,-0.06460893
0.6775179,-9.65786613,8.043064719,-124.4417344,,-0.09392633,,1.70525,-0.09392633,-0.064633178
0.67852877,-9.87760714,8.526210694,-131.8674643,,-0.085563,,1.7179,-0.085563,-0.064657425
0.67953964,-10.09618775,9.009716779,-139.2931941,,-0.07696688,,1.73055,-0.07696688,-0.064681673
0.68,-10.19534322,9.230031096,-142.6749684,,-0.06775696,,1.7432,-0.06775696,-0.064692715
0.68000846,-10.19716413,9.234469814,-142.743133,,-0.05854298,,1.75585,-0.05854298,-0.064692918
0.68001693,-10.19898496,9.238908594,-142.8112976,,-0.05057002,,1.7685,-0.05057002,-0.064693121
0.68005925,-10.20808787,9.261102809,-143.1521205,,-0.04421729,,1.78115,-0.04421729,-0.064694136
0.68027088,-10.25357108,9.372084366,-144.8562351,,-0.03958656,,1.7938,-0.03958656,-0.064699213
0.68125375,-10.46412191,9.887764121,-152.7709842,,-0.03671524,,1.80645,-0.03671524,-0.064722789
0.68223663,-10.67348737,10.40381711,-160.6857334,,-0.03558526,,1.8191,-0.03558526,-0.064746365
0.68321951,-10.8815957,10.92024329,-168.6004826,,-0.03609554,,1.83175,-0.03609554,-0.064769941
0.68420239,-11.08835612,11.43704268,-176.5152318,,-0.03807702,,1.8444,-0.03807702,-0.064793517
0.685,-11.25508264,11.85670469,-182.9381278,,-0.04130053,,1.85705,-0.04130053,-0.064812649
0.68501098,-11.25737047,11.86223875,-183.0227696,,-0.04548641,,1.8697,-0.04548641,-0.064812913
0.68502196,-11.2596581,11.86777285,-183.1074113,,-0.05033411,,1.88235,-0.05033411,-0.064813176
0.68507685,-11.2710934,11.89544399,-183.53062,,-0.05555418,,1.895,-0.05555418,-0.064814493
0.6853513,-11.32819736,12.03381641,-185.6466633,,,,,,-0.064821076
0.68635123,-11.53520388,12.53819267,-193.3561711,,,,,,-0.064845061
0.68735115,-11.74052543,13.04293871,-201.065679,,,,,,-0.064869046
0.68901129,-12.07759621,13.88176549,-213.8654718,,,,,,-0.064908867
0.69,-12.27607259,14.38181866,-221.4884728,,,,,,-0.064932583
0.69001117,-12.27830519,14.38731283,-221.572172,,,,,,-0.064932851
0.69002234,-12.28053758,14.39280705,-221.6558712,,,,,,-0.064933119
0.69007819,-12.29169636,14.42027881,-222.0743673,,,,,,-0.064934459
0.69035742,-12.34741061,14.55765433,-224.1668478,,,,,,-0.064941156
0.69162014,-12.59770663,15.17922217,-233.6291299,,,,,,-0.064971445
0.69260711,-12.79146892,15.66545694,-241.025128,,,,,,-0.064995119
0.69359409,-12.98355614,16.15204196,-248.421126,,,,,,-0.065018794
0.69458106,-13.17390995,16.63897711,-255.8171241,,,,,,-0.065042468
0.695,-13.25416508,16.8457714,-258.9564889,,,,,,-0.065052517
0.69501139,-13.25634226,16.85175566,-259.0473921,,,,,,-0.06505279
0.69502278,-13.2585192,16.85773997,-259.1382954,,,,,,-0.065053063
0.69507973,-13.26940018,16.88766226,-259.5928116,,,,,,-0.065054429
0.69536446,-13.32371109,17.0372922,-261.8653927,,,,,,-0.065061259
0.69646451,-13.53202027,17.61566691,-270.6453224,,,,,,-0.065087646
0.69756455,-13.73782859,18.19450491,-279.4252522,,,,,,-0.065114032
0.6986646,-13.94107328,18.77380631,-288.2051819,,,,,,-0.065140419
0.69976464,-14.14175494,19.35357099,-296.9851117,,,,,,-0.065166805
0.7,-14.18436222,19.47767263,-298.8635896,,,,,,-0.065172451
0.70001498,-14.18706955,19.48589602,-298.98812,,,,,,-0.06517281
0.70002995,-14.18977641,19.49411943,-299.1126505,,,,,,-0.065173169
0.70010483,-14.20330379,19.53523802,-299.7353028,,,,,,-0.065174965
0.70047924,-14.27076789,19.7408646,-302.8485646,,,,,,-0.065183946
0.70155047,-14.46222116,20.3294977,-311.7560095,,,,,,-0.065209642
0.7026217,-14.65138314,20.91858855,-320.6634544,,,,,,-0.065235337
0.70385669,-14.86662926,21.59830069,-330.9325631,,,,,,-0.065264961
0.705,-15.06313156,22.22809958,-340.4393884,,,,,,-0.065292385
0.705014,-15.06552049,22.23572208,-340.5543809,,,,,,-0.065292721
0.705028,-15.06790901,22.24334466,-340.6693735,,,,,,-0.065293057
0.70509799,-15.07984533,22.28145863,-341.2443362,,,,,,-0.065294735
0.70544795,-15.13936888,22.47205751,-344.1191499,,,,,,-0.06530313
0.70665428,-15.34249118,23.12943786,-354.0288767,,,,,,-0.065332066
0.70786061,-15.54234496,23.78739171,-363.9386036,,,,,,-0.065361002
0.70906695,-15.73889195,24.44591914,-373.8483304,,,,,,-0.065389938
0.71,-15.88865554,24.95565769,-381.5131175,,,,,,-0.065412319
0.71001721,-15.89140036,24.96559765,-381.6626674,,,,,,-0.065412732
0.71003443,-15.89414452,24.97553782,-381.8122173,,,,,,-0.065413145
0.7101205,-15.90785539,25.02524027,-382.5599666,,,,,,-0.065415209
0.71055088,-15.9761628,25.27379909,-386.2987131,,,,,,-0.065425533
0.71165653,-16.14977646,25.91271292,-395.9037412,,,,,,-0.065452054
0.71276219,-16.32071785,26.55213633,-405.5087693,,,,,,-0.065478575
0.71386784,-16.48899152,27.19206911,-415.1137974,,,,,,-0.065505096
0.715,-16.65851284,27.84786803,-424.9490418,,,,,,-0.065532253
0.71501802,-16.66118735,27.8576064,-425.0948421,,,,,,-0.065532685
0.71503603,-16.66386113,27.86734478,-425.2406423,,,,,,-0.065533117
0.71512611,-16.67721921,27.91603892,-425.9696436,,,,,,-0.065535278
0.71557649,-16.74373812,28.15955663,-429.6146502,,,,,,-0.065546081
0.71690535,-16.9373614,28.87851396,-440.3692294,,,,,,-0.065577956
0.71823421,-17.12702077,29.59815689,-451.1238086,,,,,,-0.065609831
0.71956306,-17.31268755,30.31848531,-461.8783877,,,,,,-0.065641706
0.72,-17.37285948,30.55548372,-465.4145617,,,,,,-0.065652187
0.72001692,-17.37518045,30.56480802,-465.5537094,,,,,,-0.065652593
0.72003383,-17.37750077,30.57413232,-465.6928572,,,,,,-0.065652998
0.72011842,-17.38909259,30.62075596,-466.3885957,,,,,,-0.065655027
0.72054135,-17.44680751,30.85391632,-469.8672886,,,,,,-0.065665172
0.72192484,-17.63277079,31.6171294,-481.2468776,,,,,,-0.065698357
0.72314044,-17.79259788,32.28834472,-491.245475,,,,,,-0.065727516
0.72435603,-17.94910582,32.96014301,-501.2440723,,,,,,-0.065756674
0.725,-18.03067467,33.31626603,-506.5408517,,,,,,-0.065772121
0.72503145,-18.03463512,33.33301907,-506.7897524,,,,,,-0.065772875
0.72506291,-18.03859336,33.3497726,-507.038653,,,,,,-0.06577363
0.72522018,-18.05835132,33.43354554,-508.2831562,,,,,,-0.065777402
0.72600655,-18.15631277,33.85255133,-514.5056721,,,,,,-0.065796265
0.72746808,-18.33473237,34.63193707,-526.0708128,,,,,,-0.065831322
0.72934188,-18.55656624,35.63235116,-540.8981414,,,,,,-0.065876268
0.73,-18.63263916,35.98403876,-546.1058843,,,,,,-0.065892055
0.73003117,-18.63621863,35.99967006,-546.3369109,,,,,,-0.065892802
0.73006234,-18.63979595,36.0153017,-546.5679375,,,,,,-0.06589355
0.73021821,-18.65765027,36.09346536,-547.7230706,,,,,,-0.065897289
0.73099752,-18.74611454,36.48441266,-553.4987357,,,,,,-0.065915982
0.73249619,-18.91245658,37.23683879,-564.6057465,,,,,,-0.06595193
0.73443146,-19.11995108,38.20964604,-578.9484947,,,,,,-0.065998351
0.735,-19.17936079,38.49568612,-583.162043,,,,,,-0.066011989
0.73501326,-19.18073825,38.5021969,-583.2578629,,,,,,-0.066012307
0.73502652,-19.18211532,38.50870773,-583.3536828,,,,,,-0.066012625
0.73509283,-19.18899503,38.54126299,-583.8327825,,,,,,-0.066014215
0.73542437,-19.22325203,38.70406196,-586.2282809,,,,,,-0.066022168
0.73708205,-19.39102898,39.51862806,-598.2057729,,,,,,-0.06606193
0.73838669,-19.51901541,40.16038626,-607.6324257,,,,,,-0.066093224
0.73969134,-19.64347413,40.80273461,-617.0590785,,,,,,-0.066124519
0.74,-19.67240516,40.95479063,-619.2892793,,,,,,-0.066131923
0.74002078,-19.67434608,40.9640728,-619.4249689,,,,,,-0.066132421
0.74004157,-19.6762861,40.97335525,-619.5606585,,,,,,-0.06613292
0.74014548,-19.68597286,41.01976893,-620.2391067,,,,,,-0.066135412
0.74066504,-19.7340733,41.25188821,-623.6313473,,,,,,-0.066147875
0.74225445,-19.8777928,41.96249195,-634.0085855,,,,,,-0.066186
0.74364746,-19.99955565,42.58593844,-643.1035292,,,,,,-0.066219413
